U.S. Regional Level,ID Code,U.S. Regional Title,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
Metropolitan Statistical Area,119780,"Des Moines-West Des Moines, IA",119.0,188.0,116.0,147.0,143.0,140.0,178.0,183.0,143.0,189.0,174.0,233.0,249.0,276.0,223.0,218.0,2919.0
Metropolitan Statistical Area,134980,"Nashville-Davidson--Murfreesboro--Franklin, TN",155.0,164.0,151.0,159.0,151.0,113.0,149.0,116.0,126.0,130.0,196.0,212.0,210.0,239.0,252.0,220.0,2743.0
Metropolitan Statistical Area,128940,"Knoxville, TN",170.0,183.0,174.0,167.0,140.0,123.0,127.0,136.0,122.0,120.0,202.0,188.0,192.0,222.0,257.0,218.0,2741.0
Metropolitan Statistical Area,145060,"Syracuse, NY",195.0,147.0,140.0,157.0,144.0,147.0,174.0,161.0,123.0,119.0,164.0,188.0,224.0,248.0,190.0,217.0,2738.0
Metropolitan Statistical Area,124340,"Grand Rapids-Wyoming, MI",174.0,194.0,195.0,181.0,165.0,140.0,141.0,127.0,135.0,117.0,159.0,189.0,178.0,206.0,193.0,217.0,2711.0
Metropolitan Statistical Area,131140,"Louisville/Jefferson County, KY-IN",147.0,148.0,120.0,152.0,168.0,116.0,125.0,113.0,101.0,96.0,159.0,156.0,189.0,231.0,268.0,300.0,2589.0
Metropolitan Statistical Area,113780,"Binghamton, NY",221.0,237.0,206.0,215.0,185.0,152.0,196.0,157.0,121.0,106.0,116.0,117.0,121.0,112.0,110.0,109.0,2481.0
Metropolitan Statistical Area,126100,"Holland-Grand Haven, MI",166.0,165.0,178.0,146.0,129.0,128.0,135.0,106.0,140.0,128.0,133.0,133.0,174.0,151.0,198.0,166.0,2372.0
Metropolitan Statistical Area,126620,"Huntsville, AL",103.0,126.0,132.0,147.0,138.0,114.0,122.0,107.0,112.0,115.0,201.0,148.0,180.0,218.0,215.0,190.0,2368.0
Metropolitan Statistical Area,145780,"Toledo, OH",202.0,190.0,147.0,129.0,130.0,104.0,119.0,103.0,110.0,105.0,136.0,143.0,153.0,152.0,178.0,146.0,2243.0
Metropolitan Statistical Area,147260,"Virginia Beach-Norfolk-Newport News, VA-NC",148.0,149.0,161.0,169.0,137.0,125.0,121.0,127.0,121.0,108.0,161.0,111.0,149.0,141.0,171.0,143.0,2242.0
Metropolitan Statistical Area,136420,"Oklahoma City, OK",178.0,176.0,156.0,146.0,115.0,113.0,148.0,136.0,111.0,100.0,120.0,127.0,129.0,152.0,142.0,155.0,2204.0
Metropolitan Statistical Area,111540,"Appleton, WI",148.0,175.0,187.0,197.0,199.0,145.0,131.0,112.0,109.0,78.0,118.0,111.0,111.0,118.0,137.0,108.0,2184.0
Metropolitan Statistical Area,116300,"Cedar Rapids, IA",101.0,104.0,129.0,121.0,103.0,82.0,82.0,88.0,106.0,174.0,148.0,175.0,163.0,184.0,225.0,193.0,2178.0
Metropolitan Statistical Area,127260,"Jacksonville, FL",111.0,106.0,114.0,132.0,124.0,106.0,122.0,107.0,91.0,84.0,168.0,143.0,174.0,173.0,210.0,202.0,2167.0
Metropolitan Statistical Area,115940,"Canton-Massillon, OH",108.0,110.0,140.0,136.0,117.0,105.0,141.0,133.0,135.0,135.0,148.0,166.0,178.0,156.0,132.0,121.0,2161.0
Metropolitan Statistical Area,146140,"Tulsa, OK",135.0,154.0,118.0,138.0,133.0,107.0,130.0,106.0,94.0,91.0,152.0,135.0,148.0,182.0,163.0,174.0,2160.0
Metropolitan Statistical Area,135980,"Norwich-New London, CT",165.0,175.0,186.0,184.0,141.0,154.0,139.0,104.0,86.0,86.0,94.0,84.0,106.0,108.0,121.0,108.0,2041.0
Metropolitan Statistical Area,123060,"Fort Wayne, IN",153.0,144.0,180.0,142.0,148.0,101.0,93.0,99.0,92.0,99.0,126.0,118.0,144.0,119.0,123.0,141.0,2022.0
Metropolitan Statistical Area,124660,"Greensboro-High Point, NC",129.0,121.0,122.0,142.0,145.0,103.0,129.0,95.0,66.0,73.0,120.0,151.0,146.0,157.0,142.0,159.0,2000.0
Metropolitan Statistical Area,136260,"Ogden-Clearfield, UT",131.0,117.0,113.0,102.0,126.0,101.0,127.0,88.0,103.0,93.0,133.0,133.0,117.0,151.0,155.0,197.0,1987.0
Metropolitan Statistical Area,144140,"Springfield, MA",111.0,136.0,167.0,126.0,89.0,89.0,132.0,96.0,85.0,125.0,118.0,120.0,140.0,147.0,138.0,165.0,1981.0
Metropolitan Statistical Area,125420,"Harrisburg-Carlisle, PA",142.0,114.0,123.0,114.0,142.0,93.0,120.0,104.0,104.0,97.0,151.0,128.0,135.0,123.0,130.0,125.0,1945.0
